GeneID,Symbol,GeneInfo,Localization,Process,Function,Combined_casTLE_Effect,Combined_casTLE_Score,Minimum_Effect_Estimate,Maximum_Effect_Estimate,p_value,q_value,direction_note
ENSG00000225697,SLC26A6,"solute carrier family 26 (anion exchanger), member 6",endoplasmic reticulum|plasma membrane|plasma membrane|vesicle membrane|membrane|integral component of membrane|basolateral plasma membrane|apical plasma membrane|cytoplasmic vesicle membrane|brush border membrane|membrane-bounded vesicle|chloride channel complex|sperm midpiece|,ion transport|anion transport|chloride transport|chloride transport|sulfate transport|sulfate transport|bicarbonate transport|bicarbonate transport|formate transport|mannitol transport|oxalate transport|oxalate transport|transepithelial chloride transport|transepithelial chloride transport|angiotensin-activated signaling pathway|epithelial fluid transport|oxalic acid secretion|sperm capacitation|intestinal absorption|regulation of intracellular pH|regulation of intracellular pH|intracellular pH elevation|transmembrane transport|protein kinase C signaling|transepithelial transport|cellular response to cAMP|cellular response to fructose stimulus|cellular response to interferon-gamma|sulfate transmembrane transport|sulfate transmembrane transport|sulfate transmembrane transport|chloride transmembrane transport|chloride transmembrane transport|chloride transmembrane transport|chloride transmembrane transport|positive regulation of dipeptide transmembrane transport|,chloride channel activity|protein binding|secondary active sulfate transmembrane transporter activity|bicarbonate transmembrane transporter activity|bicarbonate transmembrane transporter activity|bicarbonate transmembrane transporter activity|chloride transmembrane transporter activity|chloride transmembrane transporter activity|chloride transmembrane transporter activity|sulfate transmembrane transporter activity|sulfate transmembrane transporter activity|anion:anion antiporter activity|anion:anion antiporter activity|anion:anion antiporter activity|formate transmembrane transporter activity|efflux transmembrane transporter activity|formate uptake transmembrane transporter activity|formate efflux transmembrane transporter activity|oxalate transmembrane transporter activity|PDZ domain binding|,0.9,28.2,0.6,1.4,0.000376,0.010445575,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000105698,USF2,"upstream transcription factor 2, c-fos interacting",nucleus|,"regulation of transcription from RNA polymerase II promoter by glucose|positive regulation of transcription from RNA polymerase II promoter by glucose|positive regulation of transcription from RNA polymerase II promoter by glucose|transcription, DNA-templated|transcription from RNA polymerase II promoter|lactation|late viral transcription|positive regulation of transcription from RNA polymerase II promoter|lipid homeostasis|",RNA polymerase II core promoter proximal region sequence-specific DNA binding|double-stranded DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|protein binding|protein homodimerization activity|bHLH transcription factor binding|sequence-specific DNA binding|protein heterodimerization activity|,0.8,28.1,0.5,1.3,0.000392,0.010816882,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000132522,GPS2,G protein pathway suppressor 2,nucleus|transcriptional repressor complex|,negative regulation of transcription from RNA polymerase II promoter|inactivation of MAPK activity|cell cycle|JNK cascade|negative regulation of JNK cascade|,transcription corepressor activity|GTPase inhibitor activity|protein binding|,1.3,28.0,0.8,2.0,0.000406,0.011128411,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000164941,INTS8,integrator complex subunit 8,integrator complex|,snRNA processing|,protein binding|,1.3,27.9,0.8,2.2,0.000418,0.011396467,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000044574,HSPA5,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",nucleus|nucleus|endoplasmic reticulum|endoplasmic reticulum|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|COP9 signalosome|cell surface|membrane|integral component of endoplasmic reticulum membrane|midbody|endoplasmic reticulum chaperone complex|melanosome|extracellular vesicular exosome|,platelet degranulation|ATP catabolic process|ER overload response|activation of signaling protein activity involved in unfolded protein response|blood coagulation|cerebellum structural organization|cerebellar Purkinje cell layer development|substantia nigra development|platelet activation|positive regulation of cell migration|ER-associated ubiquitin-dependent protein catabolic process|negative regulation of transforming growth factor beta receptor signaling pathway|endoplasmic reticulum unfolded protein response|positive regulation of protein ubiquitination|maintenance of protein localization in endoplasmic reticulum|cellular response to glucose starvation|negative regulation of apoptotic process|negative regulation of apoptotic process|cellular protein metabolic process|regulation of protein folding in endoplasmic reticulum|cellular response to antibiotic|cellular response to interleukin-4|,glycoprotein binding|calcium ion binding|protein binding|ATP binding|ATPase activity|enzyme binding|protein domain specific binding|ubiquitin protein ligase binding|ribosome binding|unfolded protein binding|chaperone binding|misfolded protein binding|,1.7,27.7,1.1,2.9,0.000438,0.011847352,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000259040,BLOC1S5-TXNDC5,BLOC1S5-TXNDC5 readthrough (NMD candidate),,,,2.3,27.5,1.4,4.3,0.000454,0.012247858,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000129128,SPCS3,signal peptidase complex subunit 3 homolog (S. cerevisiae),endoplasmic reticulum|signal peptidase complex|endoplasmic reticulum membrane|integral component of membrane|,translation|signal peptide processing|proteolysis|SRP-dependent cotranslational protein targeting to membrane|gene expression|cellular protein metabolic process|regulation of insulin secretion|,peptidase activity|,3.0,27.4,1.1,4.5,0.000466,0.012505856,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000139687,RB1,retinoblastoma 1,chromatin|nucleus|nucleoplasm|spindle|SWI/SNF complex|PML body|Rb-E2F complex|,"cell cycle checkpoint|G1/S transition of mitotic cell cycle|regulation of transcription involved in G1/S transition of mitotic cell cycle|mitotic cell cycle|chromatin remodeling|transcription, DNA-templated|negative regulation of protein kinase activity|cell cycle arrest|negative regulation of transcription from RNA polymerase II promoter during mitosis|mitotic cell cycle checkpoint|Ras protein signal transduction|regulation of mitotic cell cycle|viral process|androgen receptor signaling pathway|sister chromatid biorientation|neuron projection development|maintenance of mitotic sister chromatid cohesion|glial cell apoptotic process|skeletal muscle cell differentiation|neuron maturation|enucleate erythrocyte differentiation|negative regulation of sequence-specific DNA binding transcription factor activity|regulation of lipid kinase activity|myoblast differentiation|positive regulation of macrophage differentiation|positive regulation of mitotic metaphase/anaphase transition|negative regulation of smoothened signaling pathway|negative regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|digestive tract development|cell morphogenesis involved in neuron differentiation|negative regulation of epithelial cell proliferation|striated muscle cell differentiation|neuron apoptotic process|protein localization to chromosome, centromeric region|regulation of cohesin localization to chromatin|negative regulation of transcription involved in G1/S transition of mitotic cell cycle|regulation of centromere complex assembly|hepatocyte apoptotic process|negative regulation of G1/S transition of mitotic cell cycle|",core promoter binding|RNA polymerase II activating transcription factor binding|DNA binding|sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|transcription factor binding|kinase binding|ubiquitin protein ligase binding|identical protein binding|androgen receptor binding|phosphoprotein binding|,0.9,27.1,0.6,1.5,0.000512,0.013563045,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000134108,ARL8B,ADP-ribosylation factor-like 8B,cytoplasm|lysosomal membrane|membrane|midbody|late endosome membrane|spindle midzone|extracellular vesicular exosome|,GTP catabolic process|cell cycle|chromosome segregation|small GTPase mediated signal transduction|cell division|,GTPase activity|GTP binding|GDP binding|alpha-tubulin binding|beta-tubulin binding|,1.3,26.9,0.8,2.0,0.00054,0.01410458,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000168264,IRF2BP2,interferon regulatory factor 2 binding protein 2,nucleus|cytoplasm|,"transcription, DNA-templated|regulation of transcription, DNA-templated|",metal ion binding|,1.3,26.8,0.8,1.9,0.000562,0.014568005,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000006715,VPS41,vacuolar protein sorting 41 homolog (S. cerevisiae),lysosomal membrane|early endosome|late endosome|Golgi-associated vesicle|cytosol|microtubule|membrane|HOPS complex|,intracellular protein transport|biological_process|vesicle-mediated transport|Golgi vesicle transport|,molecular_function|protein binding|microtubule binding|zinc ion binding|,1.5,26.6,0.7,2.3,0.00059,0.015046832,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000103653,CSK,c-src tyrosine kinase,cytoplasm|cytosol|plasma membrane|plasma membrane|cell-cell junction|membrane raft|extracellular vesicular exosome|,protein phosphorylation|epidermal growth factor receptor signaling pathway|brain development|blood coagulation|negative regulation of cell proliferation|negative regulation of low-density lipoprotein particle clearance|peptidyl-tyrosine phosphorylation|peptidyl-tyrosine phosphorylation|platelet activation|T cell costimulation|negative regulation of interleukin-6 production|negative regulation of kinase activity|adherens junction organization|negative regulation of Golgi to plasma membrane protein transport|positive regulation of MAP kinase activity|negative regulation of bone resorption|protein autophosphorylation|oligodendrocyte differentiation|negative regulation of phagocytosis|T cell receptor signaling pathway|regulation of Fc receptor mediated stimulatory signaling pathway|negative regulation of ERK1 and ERK2 cascade|cellular response to peptide hormone stimulus|,protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|protein binding|ATP binding|protein C-terminus binding|protein phosphatase binding|identical protein binding|proline-rich region binding|,1.0,26.5,0.6,1.7,0.00061,0.015384889,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000068024,HDAC4,histone deacetylase 4,histone deacetylase complex|nucleus|cytoplasm|cytosol|transcriptional repressor complex|Z disc|neuromuscular junction|A band|actomyosin|,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|skeletal system development|osteoblast development|chromatin remodeling|transcription, DNA-templated|inflammatory response|nervous system development|positive regulation of cell proliferation|negative regulation of cell proliferation|negative regulation of myotube differentiation|regulation of cardiac muscle contraction by calcium ion signaling|response to denervation involved in regulation of muscle adaptation|cardiac muscle hypertrophy in response to stress|histone deacetylation|histone deacetylation|B cell differentiation|positive regulation of protein sumoylation|peptidyl-lysine deacetylation|B cell activation|response to drug|regulation of protein binding|negative regulation of sequence-specific DNA binding transcription factor activity|negative regulation of osteoblast differentiation|negative regulation of glycolytic process|negative regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of skeletal muscle fiber development|positive regulation of sequence-specific DNA binding transcription factor activity|response to interleukin-1|histone H3 deacetylation|histone H4 deacetylation|",core promoter binding|transcription corepressor activity|histone deacetylase activity|protein binding|transcription factor binding|zinc ion binding|protein kinase binding|potassium ion binding|NAD-dependent histone deacetylase activity (H3-K14 specific)|protein deacetylase activity|activating transcription factor binding|histone deacetylase binding|sequence-specific DNA binding|transcription regulatory region DNA binding|NAD-dependent histone deacetylase activity (H3-K9 specific)|NAD-dependent histone deacetylase activity (H4-K16 specific)|repressing transcription factor binding|NAD-dependent histone deacetylase activity (H3-K18 specific)|,0.9,26.3,0.6,1.4,0.000652,0.016166135,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000160551,TAOK1,TAO kinase 1,cytosol|extracellular vesicular exosome|,MAPK cascade|activation of MAPKK activity|mitotic cell cycle|DNA repair|protein phosphorylation|cellular response to DNA damage stimulus|G2 DNA damage checkpoint|positive regulation of stress-activated MAPK cascade|positive regulation of JNK cascade|regulation of cytoskeleton organization|execution phase of apoptosis|,protein kinase activity|protein serine/threonine kinase activity|protein serine/threonine kinase activity|protein binding|ATP binding|kinase activity|transferase activity|,0.9,26.0,0.6,1.7,0.000698,0.016978602,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000145216,FIP1L1,factor interacting with PAPOLA and CPSF1,nucleus|mRNA cleavage and polyadenylation specificity factor complex|,mRNA processing|,poly(A) RNA binding|,1.2,25.6,0.7,2.2,0.000778,0.018659276,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000188428,BLOC1S5,"biogenesis of lysosomal organelles complex-1, subunit 5, muted",transport vesicle|BLOC-1 complex|,anterograde axon cargo transport|neuron projection development|melanosome transport|melanosome organization|endosome to melanosome transport|anterograde synaptic vesicle transport|positive regulation of pigment cell differentiation|,protein binding|,1.3,25.4,0.9,2.2,0.000828,0.019583917,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000112081,SRSF3,serine/arginine-rich splicing factor 3,nucleoplasm|cytoplasm|,"mRNA splicing, via spliceosome|transcription from RNA polymerase II promoter|termination of RNA polymerase II transcription|mRNA export from nucleus|RNA splicing|gene expression|mRNA 3'-end processing|",nucleotide binding|RNA binding|protein binding|poly(A) RNA binding|,2.3,24.8,1.7,4.2,0.000978,0.022433899,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000140365,COMMD4,COMM domain containing 4,cytoplasm|,,protein binding|,1.5,24.8,0.7,2.1,0.000978,0.022433899,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000090061,CCNK,cyclin K,cyclin K-CDK12 complex|cyclin K-CDK13 complex|nucleus|,"regulation of cyclin-dependent protein serine/threonine kinase activity|in utero embryonic development|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|protein phosphorylation|cellular response to DNA damage stimulus|mitotic nuclear division|negative regulation of cell cycle arrest|",cyclin-dependent protein serine/threonine kinase activity|protein binding|RNA polymerase II carboxy-terminal domain kinase activity|protein kinase binding|,1.4,24.8,0.8,2.1,0.000978,0.022433899,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000127022,CANX,calnexin,endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|ribosome|membrane|axon|dendrite cytoplasm|melanosome|neuronal cell body|dendritic spine|protein complex|extracellular vesicular exosome|integral component of lumenal side of endoplasmic reticulum membrane|,antigen processing and presentation of peptide antigen via MHC class I|protein folding|aging|protein secretion|protein N-linked glycosylation via asparagine|antigen processing and presentation of exogenous peptide antigen via MHC class II|post-translational protein modification|cellular protein metabolic process|synaptic vesicle endocytosis|chaperone-mediated protein folding|clathrin-mediated endocytosis|,glycoprotein binding|calcium ion binding|protein binding|apolipoprotein binding|ionotropic glutamate receptor binding|poly(A) RNA binding|unfolded protein binding|,0.9,24.7,0.5,1.5,0.00101,0.023013651,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000130749,ZC3H4,zinc finger CCCH-type containing 4,,,poly(A) RNA binding|metal ion binding|,1.5,24.2,0.8,2.1,0.00117,0.026052169,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000104142,VPS18,vacuolar protein sorting 18 homolog (S. cerevisiae),lysosomal membrane|early endosome|actin filament|HOPS complex|late endosome membrane|,intracellular protein transport|endosome organization|lysosome organization|vesicle-mediated transport|,actin binding|protein binding|metal ion binding|,1.1,24.1,0.7,1.8,0.00121,0.026625188,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000095739,BAMBI,BMP and activin membrane-bound inhibitor,cytoplasm|plasma membrane|plasma membrane|integral component of membrane|,"transforming growth factor beta receptor signaling pathway|positive regulation of cell proliferation|regulation of cell shape|positive regulation of epithelial to mesenchymal transition|cell migration|negative regulation of transforming growth factor beta receptor signaling pathway|negative regulation of transforming growth factor beta receptor signaling pathway|negative regulation of transforming growth factor beta receptor signaling pathway|positive regulation of protein binding|positive regulation of catenin import into nucleus|positive regulation of transcription, DNA-templated|positive regulation of canonical Wnt signaling pathway|",frizzled binding|type II transforming growth factor beta receptor binding|,0.9,24.1,0.5,1.3,0.00121,0.026625188,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000183853,KIRREL,kin of IRRE like (Drosophila),plasma membrane|plasma membrane|cell-cell junction|integral component of membrane|dendritic shaft|perinuclear region of cytoplasm|extracellular vesicular exosome|,negative regulation of protein phosphorylation|excretion|single organismal cell-cell adhesion|positive regulation of actin filament polymerization|,protein binding|myosin binding|,0.9,24.0,0.5,1.3,0.00123,0.026835175,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100596,SPTLC2,"serine palmitoyltransferase, long chain base subunit 2",mitochondrion|endoplasmic reticulum membrane|integral component of membrane|serine C-palmitoyltransferase complex|,sphingolipid metabolic process|sphingomyelin biosynthetic process|sphingolipid biosynthetic process|small molecule metabolic process|sphinganine biosynthetic process|sphingosine biosynthetic process|ceramide biosynthetic process|,serine C-palmitoyltransferase activity|pyridoxal phosphate binding|,1.1,23.9,0.6,1.9,0.00125,0.027098733,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000137101,CD72,CD72 molecule,plasma membrane|integral component of plasma membrane|,cell adhesion|signal transduction|axon guidance|,transmembrane signaling receptor activity|receptor binding|protein binding|carbohydrate binding|,1.0,23.8,0.7,1.5,0.00127,0.02738771,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000085449,WDFY1,WD repeat and FYVE domain containing 1,nucleus|early endosome|cytosol|,biological_process|,1-phosphatidylinositol binding|zinc ion binding|,0.8,23.5,0.5,1.3,0.00138,0.029298242,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000063169,GLTSCR1,glioma tumor suppressor candidate region gene 1,,,protein binding|,1.0,23.3,0.6,1.6,0.00146,0.030710861,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000132842,AP3B1,"adaptor-related protein complex 3, beta 1 subunit",lysosomal membrane|Golgi apparatus|membrane|AP-3 adaptor complex|clathrin-coated vesicle membrane|,"protein targeting to lysosome|intracellular protein transport|blood coagulation|anterograde axon cargo transport|melanosome organization|antigen processing and presentation, exogenous lipid antigen via MHC class Ib|anterograde synaptic vesicle transport|positive regulation of NK T cell differentiation|",protein phosphatase binding|GTP-dependent protein binding|,0.9,23.2,0.6,1.5,0.00149,0.031182161,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000125633,CCDC93,coiled-coil domain containing 93,,,,1.5,23.1,0.9,2.5,0.00154,0.032097665,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000003756,RBM5,RNA binding motif protein 5,nucleus|nucleoplasm|spliceosomal complex|,"spliceosomal complex assembly|regulation of alternative mRNA splicing, via spliceosome|mRNA splicing, via spliceosome|RNA processing|apoptotic process|negative regulation of cell proliferation|RNA splicing|gene expression|positive regulation of apoptotic process|positive regulation of apoptotic process|",nucleotide binding|DNA binding|RNA binding|mRNA binding|protein binding|zinc ion binding|poly(A) RNA binding|,0.8,23.0,0.5,1.2,0.00157,0.032623583,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000185990,F8A3,coagulation factor VIII-associated 3,nucleus|,biological_process|,molecular_function|,1.5,22.9,1.0,2.7,0.00161,0.033252817,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000112697,TMEM30A,transmembrane protein 30A,endoplasmic reticulum|Golgi apparatus|membrane|integral component of membrane|apical plasma membrane|transport vesicle membrane|,drug transmembrane transport|protein localization to endosome|phospholipid translocation|positive regulation of protein exit from endoplasmic reticulum|,protein binding|,1.0,22.7,0.6,1.6,0.00168,0.034284692,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000112367,FIG4,"FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)",Golgi membrane|endosome membrane|early endosome membrane|late endosome membrane|,phospholipid metabolic process|phosphatidylinositol biosynthetic process|vacuole organization|locomotory behavior|cell death|positive regulation of neuron projection development|dephosphorylation|negative regulation of myelination|myelin assembly|phosphatidylinositol-3-phosphate biosynthetic process|pigmentation|small molecule metabolic process|neuron development|,"phosphatidylinositol-3-phosphatase activity|protein binding|phosphatidylinositol-4-phosphate phosphatase activity|phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity|",0.7,22.6,0.5,1.2,0.00171,0.034655775,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000188626,GOLGA8M,"golgin A8 family, member M",Golgi apparatus|,,,2.0,22.4,1.4,3.5,0.00179,0.035713022,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000102786,INTS6,integrator complex subunit 6,nucleus|actin cytoskeleton|integrator complex|,signal transduction|snRNA processing|,transmembrane signaling receptor activity|protein binding|,1.8,22.4,1.2,2.9,0.00179,0.035713022,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000166887,VPS39,vacuolar protein sorting 39 homolog (S. cerevisiae),lysosomal membrane|HOPS complex|late endosome membrane|,intracellular protein transport|vesicle-mediated transport|regulation of catalytic activity|,small GTPase regulator activity|,1.2,22.2,0.7,2.0,0.00188,0.036793518,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000198892,SHISA4,shisa family member 4,integral component of membrane|,,,1.1,22.2,0.6,2.9,0.00188,0.036793518,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000126804,ZBTB1,zinc finger and BTB domain containing 1,nucleus|nucleoplasm|nuclear body|,negative regulation of transcription from RNA polymerase II promoter|positive regulation of T cell mediated immunity|B cell differentiation|positive regulation of natural killer cell differentiation|T cell differentiation in thymus|mRNA transcription from RNA polymerase II promoter|innate immune response|positive regulation of T cell differentiation|thymus development|protein homooligomerization|positive regulation of pro-T cell differentiation|,DNA binding|protein homodimerization activity|metal ion binding|protein heterodimerization activity|,0.9,22.2,0.5,1.4,0.00188,0.036793518,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000157693,C9ORF91,chromosome 9 open reading frame 91,cellular_component|integral component of membrane|,biological_process|,molecular_function|,0.9,22.0,0.6,1.5,0.00197,0.037940056,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000167258,CDK12,cyclin-dependent kinase 12,cyclin K-CDK12 complex|nucleus|nucleolus|nuclear speck|nuclear cyclin-dependent protein kinase holoenzyme complex|,mRNA processing|RNA splicing|regulation of MAP kinase activity|protein autophosphorylation|regulation of cell cycle|phosphorylation of RNA polymerase II C-terminal domain|,protein kinase activity|cyclin-dependent protein serine/threonine kinase activity|protein binding|ATP binding|RNA polymerase II carboxy-terminal domain kinase activity|cyclin binding|,0.8,22.0,0.5,2.3,0.00197,0.037940056,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000140090,SLC24A4,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4",plasma membrane|integral component of membrane|,ion transport|potassium ion transport|cellular calcium ion homeostasis|sensory perception of smell|sodium ion transmembrane transport|response to stimulus|transmembrane transport|calcium ion transmembrane transport|amelogenesis|,"calcium, potassium:sodium antiporter activity|symporter activity|",0.7,21.2,0.4,1.2,0.00241,0.044255188,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000146574,CCZ1B,CCZ1 vacuolar protein trafficking and biogenesis associated homolog B (S. cerevisiae),lysosomal membrane|,,,1.1,21.1,0.6,1.7,0.00249,0.045439733,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000197932,F8A1,coagulation factor VIII-associated 1,,,,1.0,21.1,0.7,4.2,0.00249,0.045439733,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000120860,CCDC53,coiled-coil domain containing 53,actin cytoskeleton|intracellular membrane-bounded organelle|WASH complex|,biological_process|,protein binding|,1.4,20.5,0.6,2.4,0.00295,0.052164944,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000077463,SIRT6,sirtuin 6,nucleus|nucleoplasm|nuclear telomeric heterochromatin|,protein ADP-ribosylation|protein ADP-ribosylation|regulation of double-strand break repair via homologous recombination|histone deacetylation|histone H3 deacetylation|,NAD+ ADP-ribosyltransferase activity|NAD(P)+-protein-arginine ADP-ribosyltransferase activity|protein binding|zinc ion binding|NAD-dependent histone deacetylase activity|NAD-dependent histone deacetylase activity (H3-K9 specific)|NAD+ binding|,0.9,20.4,0.5,1.6,0.00302,0.052991966,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000158636,C11ORF30,chromosome 11 open reading frame 30,nucleus|,"DNA repair|transcription, DNA-templated|regulation of transcription, DNA-templated|chromatin modification|",,1.2,20.2,0.6,1.9,0.00319,0.055173294,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000165389,SPTSSA,"serine palmitoyltransferase, small subunit A",integral component of membrane|serine C-palmitoyltransferase complex|,sphingolipid biosynthetic process|,serine C-palmitoyltransferase activity|protein binding|,1.1,20.1,0.6,1.9,0.00329,0.056569263,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000122958,VPS26A,vacuolar protein sorting 26 homolog A (S. pombe),endosome|cytosol|cytosol|endosome membrane|vesicle|intracellular membrane-bounded organelle|extracellular vesicular exosome|,"protein transport|retrograde transport, endosome to Golgi|",protein binding|protein transporter activity|,1.2,20.0,0.7,2.0,0.00337,0.057511305,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100796,SMEK1,"SMEK homolog 1, suppressor of mek1 (Dictyostelium)",nucleus|cytoplasm|microtubule organizing center|protein phosphatase 4 complex|,protein dephosphorylation|positive regulation of gluconeogenesis|,,0.8,20.0,0.4,1.3,0.00337,0.057511305,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000215472,RPL17-C18ORF32,RPL17-C18orf32 readthrough,,,,2.3,19.2,0.8,3.7,0.00422,0.068379321,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000241553,ARPC4,"actin related protein 2/3 complex, subunit 4, 20kDa",cytosol|Arp2/3 protein complex|cell projection|extracellular vesicular exosome|,actin filament polymerization|Arp2/3 complex-mediated actin nucleation|Fc-gamma receptor signaling pathway involved in phagocytosis|actin nucleation|innate immune response|,"protein binding|enzyme binding|protein binding, bridging|actin filament binding|",1.3,19.2,0.9,2.6,0.00422,0.068379321,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000118363,SPCS2,signal peptidase complex subunit 2 homolog (S. cerevisiae),signal peptidase complex|endoplasmic reticulum membrane|integral component of membrane|,translation|signal peptide processing|proteolysis|SRP-dependent cotranslational protein targeting to membrane|gene expression|cellular protein metabolic process|regulation of insulin secretion|,peptidase activity|,1.9,19.1,1.0,3.1,0.00433,0.069776217,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000261832,CLN3,"ceroid-lipofuscinosis, neuronal 3",Golgi membrane|nucleus|cytoplasm|mitochondrion|lysosome|lysosomal membrane|early endosome|late endosome|late endosome|autophagic vacuole|endoplasmic reticulum|Golgi apparatus|Golgi stack|trans-Golgi network|plasma membrane|caveola|synaptic vesicle|integral component of membrane|integral component of endoplasmic reticulum membrane|neuron projection|membrane raft|,autophagic vacuole fusion|action potential|globoside metabolic process|cellular amino acid metabolic process|ceramide metabolic process|glucosylceramide metabolic process|galactosylceramide metabolic process|sphingomyelin metabolic process|receptor-mediated endocytosis|vacuolar transport|lysosome organization|lysosomal lumen acidification|cell death|associative learning|arginine transport|macroautophagy|negative regulation of macroautophagy|protein processing|protein catabolic process|ionotropic glutamate receptor signaling pathway|lysosomal lumen pH elevation|neurotransmitter metabolic process|amyloid precursor protein catabolic process|negative regulation of apoptotic process|negative regulation of catalytic activity|negative regulation of neuron apoptotic process|negative regulation of proteolysis|vesicle transport along microtubule|neuromuscular process controlling balance|cytosolic calcium ion homeostasis|membrane organization|,protein binding|unfolded protein binding|,1.4,18.9,0.5,2.5,0.00461,0.073027238,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
