source,target,sign,edge_layer,verb,interaction_norm,reference,source_comp,target_comp,compartment_relation,source_node_raw,target_node_raw,container_type,member_type,member_source
SRC,EGFR,+,backbone,activates,activates,[113],keratinocyte,keratinocyte,autocrine,SRC_kerat,EGFR_kerat,,,
STAT1,MMP1,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,STAT1_kerat,MMP1_kerat,,,
STAT3,BCL2,+,backbone,increases expression,increases expression,[21],keratinocyte,keratinocyte,autocrine,STAT3_kerat,BCL2_kerat,,,
STAT3,CCND1,+,backbone,increases expression,increases expression,[21],keratinocyte,keratinocyte,autocrine,STAT3_kerat,CCND1_kerat,,,
STAT3,PTGS2,+,backbone,increases expression,increases expression,[143],keratinocyte,keratinocyte,autocrine,STAT3_kerat,PTGS2_kerat,,,
STAT3,BCL2L1,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,STAT3_melan,BCL2L1_melan,,,
STAT3,CCND1,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,STAT3_melan,CCND1_melan,,,
TFAP2A,ICAM1,+,backbone,increases expression,increases expression,[46],keratinocyte,keratinocyte,autocrine,TFAP2A_kerat,ICAM1_kerat,,,
TFAP2A,SPTLC1,+,backbone,increases expression,increases expression,[144],keratinocyte,keratinocyte,autocrine,TFAP2A_kerat,SPTLC1_kerat,,,
TFAP2A,SPTLC2,+,backbone,increases expression,increases expression,[144],keratinocyte,keratinocyte,autocrine,TFAP2A_kerat,SPTLC2_kerat,,,
TFAP2A,TNF,-,backbone,decreases,decreases,NetProTM,keratinocyte,keratinocyte,autocrine,TFAP2A_kerat,TNF_kerat,,,
TNF,TNFRSF1A,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,TNF_kerat,TNFRSF1A_kerat,,,
TNFRSF1A:NSMAF:GNB2L1_kerat,SMPD2,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A:NSMAF:GNB2L1_kerat,SMPD2_kerat,,,
TNFRSF1A:TRADD:FADD_kerat,CASP8,+,backbone,activates,activates,[35],keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRADD:FADD_kerat,CASP8_kerat,,,
TNFRSF1A:TRAF2:RIPK1_kerat,CDC42,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRAF2:RIPK1_kerat,CDC42_kerat,,,
TNFRSF1A:TRAF2:RIPK1_kerat,CHUK,+,backbone,activates,activates,[35],keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRAF2:RIPK1_kerat,IKBKA_kerat,,,
TNFRSF1A:TRAF2:RIPK1_kerat,MAP3K5,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRAF2:RIPK1_kerat,MAP3K5_kerat,,,
TNFRSF1A:TRAF2:RIPK1_kerat,MAP4K2,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRAF2:RIPK1_kerat,MAP4K2_kerat,,,
TNFRSF1A:TRAF2:RIPK1_kerat,PAK1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A:TRAF2:RIPK1_kerat,PAK1_kerat,,,
TNFRSF1A,PLC,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A_kerat,PLC_kerat,,,
TNFRSF1A,TNFRSF1A:NSMAF:GNB2L1_kerat,+,backbone,forms complex,forms complex,NetProTM,keratinocyte,keratinocyte,autocrine,TNFRSF1A_kerat,TNFRSF1A:NSMAF:GNB2L1_kerat,,,
TNFRSF1A,TNFRSF1A:TRADD:FADD_kerat,+,backbone,forms complex,forms complex,[35],keratinocyte,keratinocyte,autocrine,TNFRSF1A_kerat,TNFRSF1A:TRADD:FADD_kerat,,,
TNFRSF1A,TNFRSF1A:TRAF2:RIPK1_kerat,+,backbone,forms complex,forms complex,[35],keratinocyte,keratinocyte,autocrine,TNFRSF1A_kerat,TNFRSF1A:TRAF2:RIPK1_kerat,,,
TP53,ACTH_kerat,+,backbone,increases expression,increases expression,[145],keratinocyte,keratinocyte,autocrine,TP53_kerat,ACTH_kerat,,,
TP53,alpha_MSH_kerat,+,backbone,increases expression,increases expression,[145],keratinocyte,keratinocyte,autocrine,TP53_kerat,alpha_MSH_kerat,,,
TP53,Apoptosis_kerat,+,backbone,induces,induces,[146],keratinocyte,keratinocyte,autocrine,TP53_kerat,Apoptosis_kerat,,,
TP53,DUSP1,+,backbone,increases expression,increases expression,[147],keratinocyte,keratinocyte,autocrine,TP53_kerat,DUSP1_kerat,,,
TP53,GADD45A,+,backbone,increases expression,increases expression,[148],keratinocyte,keratinocyte,autocrine,TP53_kerat,GADD45A_kerat,,,
TP53,BBC3,+,backbone,increases expression,increases expression,[149],melanocyte,melanocyte,autocrine,TP53_melan,BBC3_melan,,,
TP53,HIF1A,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,TP53_melan,HIF1A_melan,,,
TP53,TYR,-,backbone,decreases expression,decreases expression,[148],melanocyte,melanocyte,autocrine,TP53_melan,TYR_melan,,,
TP53,TYRP1,+,backbone,increases expression,increases expression,[150],melanocyte,melanocyte,autocrine,TP53_melan,TYRP1_melan,,,
TPSAB1,F2RL1,+,backbone,activates,activates,[151],none,keratinocyte,scaffold,TPSAB1,F2RL1_kerat,,,
Trypsin,F2RL1,+,backbone,activates,activates,[151],none,keratinocyte,scaffold,Trypsin,F2RL1_kerat,,,
TYR,DOPA_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,TYR_melan,DOPA_melan,,,
TYR,DOPAquinone_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,TYR_melan,DOPAquinone_melan,,,
TYR,Eumelanin_melan,+,backbone,Increases level,increases level,[48],melanocyte,melanocyte,autocrine,TYR_melan,Eumelanin_melan,,,
TYR,Indole_5_6_quinone_carboxylic_acid_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,TYR_melan,Indole_5_6_quinone_carboxylic_acid_melan,,,
TYR,Indole_5_6_quinone_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,TYR_melan,Indole_5_6_quinone_melan,,,
Tyrosine_melan,DOPA_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,Tyrosine_melan,DOPA_melan,,,
TYRP1,Indole_5_6_quinone_carboxylic_acid_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,TYRP1_melan,Indole_5_6_quinone_carboxylic_acid_melan,,,
USF1,ACTH_melan,+,backbone,increases,increases,[92],melanocyte,melanocyte,autocrine,USF1_melan,ACTH_melan,,,
USF1,alpha_MSH_melan,+,backbone,increases,increases,[92],melanocyte,melanocyte,autocrine,USF1_melan,alpha_MSH_melan,,,
USF1,MC1R,+,backbone,increases,increases,[92],melanocyte,melanocyte,autocrine,USF1_melan,MC1R_melan,,,
UVA,Lipid_Peroxidation_kerat,+,backbone,induces,induces,[152],none,keratinocyte,scaffold,UVA,Lipid_Peroxidation_kerat,,,
UVA,ROS_kerat,+,backbone,induces,induces,[153],none,keratinocyte,scaffold,UVA,ROS_kerat,,,
UVA,Singlet_oxygen_kerat,+,backbone,increases level,increases level,[136],none,keratinocyte,scaffold,UVA,Singlet_oxygen_kerat,,,
UVB,FICZ_kerat,+,backbone,increases level,increases level,[5],none,keratinocyte,scaffold,UVB,FICZ_kerat,,,
UVB,Lipid_Peroxidation_kerat,+,backbone,induces,induces,[154],none,keratinocyte,scaffold,UVB,Lipid_Peroxidation_kerat,,,
UVB,SMPD2,-,backbone,inhibits,inhibits,[88],none,keratinocyte,scaffold,UVB,SMPD2_kerat,,,
WNT5A,FZD3,+,backbone,activates,activates,"[68],[155]",none,melanocyte,scaffold,WNT5A,FZD3_melan,,,
AHR:SRC:HSP90AA1_kerat,AHR,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
AHR:SRC:HSP90AA1_kerat,SRC,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
AHR:SRC:HSP90AA1_kerat,HSP90AA1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
APAF1:CYCS_kerat,APAF1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
APAF1:CYCS_kerat,CYCS,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CDK4:CCND1_melan,CDK4,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CDK4:CCND1_melan,CCND1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CSF2RA:JAK1_melan,CSF2RA,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CSF2RA:JAK1_melan,JAK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CTNNB1:LEF1_melan,CTNNB1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
CTNNB1:LEF1_melan,LEF1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
Calcium_cyt:Calmodulin_melan,Calcium_cyt_melan,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,small_molecule,chebi_curated_compound
Calcium_cyt:Calmodulin_melan,CALM1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein_family,mygene_family_representative
DFFB:DFFA_kerat,DFFB,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
DFFB:DFFA_kerat,DFFA,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FAS:FADD_kerat,FAS,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FAS:FADD_kerat,FADD,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FOS_kerat:JUN_kerat,FOS,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FOS_kerat:JUN_kerat,JUN,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FOS_kerat:JUN_melan,FOS,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
FOS_kerat:JUN_melan,JUN,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
GAB1:PIK3CA_melan,GAB1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
GAB1:PIK3CA_melan,PIK3CA,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IL1R1:MYD88:IRAK1:IRAK4_kerat,IL1R1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IL1R1:MYD88:IRAK1:IRAK4_kerat,MYD88,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IL1R1:MYD88:IRAK1:IRAK4_kerat,IRAK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IL1R1:MYD88:IRAK1:IRAK4_kerat,IRAK4,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IRAK1_Active:TRAF6:ECSIT_kerat,IRAK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IRAK1_Active:TRAF6:ECSIT_kerat,TRAF6,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IRAK1_Active:TRAF6:ECSIT_kerat,ECSIT,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IRAK1_Active:TRAF6_kerat,IRAK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
IRAK1_Active:TRAF6_kerat,TRAF6,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MAP3K7:TAB1_kerat,MAP3K7,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MAP3K7:TAB1_kerat,TAB1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MCL1:BAK1_kerat,MCL1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MCL1:BAK1_kerat,BAK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MCL1:BAX_kerat,MCL1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MCL1:BAX_kerat,BAX,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MITF:EP300_melan,MITF,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MITF:EP300_melan,EP300,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
RAC1:PARD6A:CDC42_melan,RAC1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
RAC1:PARD6A:CDC42_melan,PARD6A,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
RAC1:PARD6A:CDC42_melan,CDC42,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_kerat,SOS1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_kerat,GRB2,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_kerat,SHC1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_melan,SOS1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_melan,GRB2,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
SOS1:GRB2:SHC1_melan,SHC1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:NSMAF:GNB2L1_kerat,TNFRSF1A,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:NSMAF:GNB2L1_kerat,NSMAF,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:NSMAF:GNB2L1_kerat,RACK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_alias_official_update
TNFRSF1A:TRADD:FADD_kerat,TNFRSF1A,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:TRADD:FADD_kerat,TRADD,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:TRADD:FADD_kerat,FADD,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:TRAF2:RIPK1_kerat,TNFRSF1A,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:TRAF2:RIPK1_kerat,TRAF2,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
TNFRSF1A:TRAF2:RIPK1_kerat,RIPK1,0,member_of,member_of,member_of,raghunath_colon_syntax,,,structural,,,complex,protein,mygene_exact_symbol
MMPs,MMP1,0,member_of,member_of,member_of,entrez:4312.0,,,structural,,,protein_family,representative,mygene_family_representative
PKC,PRKCA,0,member_of,member_of,member_of,entrez:5578.0,,,structural,,,protein_family,representative,mygene_family_representative
PLA2,PLA2G1B,0,member_of,member_of,member_of,entrez:5319.0,,,structural,,,protein_family,representative,mygene_family_representative
PLC,PLCB1,0,member_of,member_of,member_of,entrez:23236.0,,,structural,,,protein_family,representative,mygene_family_representative
Phosphodiesterase,PDE4B,0,member_of,member_of,member_of,entrez:5142.0,,,structural,,,protein_family,representative,mygene_family_representative
Trypsin,PRSS1,0,member_of,member_of,member_of,entrez:5644.0,,,structural,,,protein_family,representative,mygene_family_representative
