gene_string,gene_sysgo,process_1,process_2,process_3,main_location,disease_gene_flag,disease_gene_class,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
PEBP1,PEBP1,1_26_29_adaptors/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,PEBP1,241463.33333333334,PEBP1,332101.6666666667,PMC9854651,pmcid
PECAM1,PECAM1,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,,,PMC9854651,pmcid
PHB,PHB,1_5_1_Transcription,Transcription & transcription factors,Transcription,01_B_1_Mitochondria,,,PHB,106947.5,PHB,51580.833333333336,PMC9854651,pmcid
PIAS4,PIAS4,1_8_4_SUMOylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
PIK3CA,PIK3CA,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,01_A_Cytosol,,,,,,,PMC9854651,pmcid
PIK3R1,PIK3R1,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,01_A_Cytosol,,,PIK3R1,50655.5,PIK3R1,46371.666666666664,PMC9854651,pmcid
PIKFYVE,PIKFYVE,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,01_B_7_Endosomes,,,,,,,PMC9854651,pmcid
PINX1,PINX1,1_15_4_Tubulin,Cytoskeleton,Cytoskeleton,01_D_3_Microtubules,,,,,,,PMC9854651,pmcid
PLA2G6,PLA2G6,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,04_EXTRACELLULAR,PLA2G6,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
PLCB3,PLCB3,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,01_A_Cytosol,PLCB3,Hypopigmentation disorder,PLCB3,120884.0,PLCB3,101701.33333333333,PMC9854651,pmcid
PMS2,PMS2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,PMS2,Hyperpigmentation disorder,PMS2,59963.833333333336,PMS2,62256.0,PMC9854651,pmcid
POFUT1,POFUT1,1_8_10_O-linked glycosylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_B_2_Endoplasmic reticulum,POFUT1,Mixed hypo- & hyperpigmentation disorder,POFUT1,337475.0,POFUT1,325080.0,PMC9854651,pmcid
POGLUT1,POGLUT1,1_8_10_O-linked glycosylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_B_2_Endoplasmic reticulum,POGLUT1,Hyperpigmentation disorder,POGLUT1,56813.333333333336,POGLUT1,84603.83333333333,PMC9854651,pmcid
POLA1,POLA1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,POLA1,Hyperpigmentation disorder,POLA1,44276.666666666664,POLA1,29286.833333333332,PMC9854651,pmcid
POLA2,POLA2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,POLA2,38186.666666666664,POLA2,21335.333333333332,PMC9854651,pmcid
POLE,POLE,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
POLE2,POLE2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
POLE3,POLE3,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,POLE3,163867.16666666666,POLE3,123631.66666666667,PMC9854651,pmcid
POLE4,POLE4,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
POLH,POLH,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,POLH,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
POMC,POMC,3_12_Hormone activity,Hormones,Signaling,04_EXTRACELLULAR,POMC,Hypopigmentation disorder,,,,,PMC9854651,pmcid
POT1,POT1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
PPP1CC,PPP1CC,1_26_19_protein phosphatase catalytic subunit,Protein phosphatases,Signaling,01_B_1_Mitochondria,,,PPP1CC,246921.66666666666,PPP1CC,196943.33333333334,PMC9854651,pmcid
PPP3CA,PPP3CA,1_26_19_protein phosphatase catalytic subunit,Protein phosphatases,Signaling,03_C_Nucleoplasm,PPP3CA,Hypopigmentation disorder,PPP3CA,130960.0,PPP3CA,111967.16666666667,PMC9854651,pmcid
PPP3R1,PPP3R1,1_26_20_protein phosphatase regulatory subunit,Protein phosphatases,Signaling,02_B_Cell membrane,,,,,PPP3R1,25292.166666666668,PMC9854651,pmcid
PRF1,PRF1,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
PRIM1,PRIM1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,PRIM1,570440.0,PRIM1,352285.0,PMC9854651,pmcid
PRIM2,PRIM2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,PRIM2,89463.66666666667,PRIM2,59355.333333333336,PMC9854651,pmcid
PRKACA,PRKACA,1_26_22_protein kinase cAMP-dependent ,Protein kinases,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
PRKAR1A,PRKAR1A,1_26_22_protein kinase cAMP-dependent ,Protein kinases,Signaling,01_A_Cytosol,PRKAR1A,Hyperpigmentation disorder,PRKAR1A,297455.0,PRKAR1A,409025.0,PMC9854651,pmcid
PSEN1,PSEN1,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,,,PMC9854651,pmcid
PSEN2,PSEN2,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,,,PMC9854651,pmcid
PSENEN,PSENEN,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,PSENEN,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
PTEN,PTEN,1_26_48_phosphatidylinositol-phosphate phosphatase,Lipid & FA metabolism,Signaling,01_A_Cytosol,PTEN,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
PTPN1,PTPN1,1_26_24_protein tyrosine phosphatase,Protein phosphatases,Signaling,01_B_2_Endoplasmic reticulum,PTPN1,Hypopigmentation disorder,PTPN1,233243.33333333334,PTPN1,176190.0,PMC9854651,pmcid
PTPN11,PTPN11,1_26_24_protein tyrosine phosphatase,Protein phosphatases,Signaling,01_A_Cytosol,PTPN11,Hyperpigmentation disorder,PTPN11,221126.66666666666,PTPN11,237956.66666666666,PMC9854651,pmcid
PTPN22,PTPN22,1_26_24_protein tyrosine phosphatase,Protein phosphatases,Signaling,03_C_Nucleoplasm,PTPN22,Hypopigmentation disorder,,,,,PMC9854651,pmcid
PTPRC,PTPRC,1_26_24_protein tyrosine phosphatase,Protein phosphatases,Signaling,02_B_Cell membrane,PTPRC,Hypopigmentation disorder,,,,,PMC9854651,pmcid
RAB27A,RAB27A,1_26_7_Rab,Rab GTPase and regulators,Signaling,01_B_6_Melanosomes,RAB27A,Hypopigmentation disorder,,,,,PMC9854651,pmcid
RAB5C,RAB5C,1_26_7_Rab,Rab GTPase and regulators,Signaling,01_B_7_Endosomes,RAB5C,Hypopigmentation disorder,RAB5C,554583.3333333334,RAB5C,527585.0,PMC9854651,pmcid
RAD23B,RAD23B,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,RAD23B,247278.33333333334,RAD23B,337253.3333333333,PMC9854651,pmcid
RAD50,RAD50,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,RAD50,75764.33333333333,RAD50,52936.833333333336,PMC9854651,pmcid
RAD51,RAD51,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RAD52,RAD52,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RAF1,RAF1,1_26_16_mitogen-activated protein kinase kinase kinase,Protein kinases,Signaling,01_A_Cytosol,RAF1,Hyperpigmentation disorder,RAF1,83409.0,RAF1,64363.333333333336,PMC9854651,pmcid
RALGDS,RALGDS,1_26_2_Ras_GEF,Ras GTPases and regulators,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
RALY,RALY,1_1_8_Metabolism of steroids/cholesterol,Lipid & FA metabolism,Metabolism,03_A_Nucleus,RALY,Hypopigmentation disorder,,,,,PMC9854651,pmcid
RAP1A,RAP1A,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
RASA1,RASA1,1_26_3_Ras_GAP,Ras GTPases and regulators,Signaling,01_A_Cytosol,,,RASA1,205423.33333333334,RASA1,154876.66666666666,PMC9854651,pmcid
RBX1,RBX1,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,RBX1,157565.0,RBX1,187540.0,PMC9854651,pmcid
RECQL4,RECQL4,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,RECQL4,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
REL,REL,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RELA,RELA,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,RELA,176820.0,RELA,166688.33333333334,PMC9854651,pmcid
REV1,REV1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RFX5,RFX5,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,RFX5,119573.0,RFX5,136071.66666666666,PMC9854651,pmcid
RFXANK,RFXANK,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,RFXANK,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
RFXAP,RFXAP,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RHEB,RHEB,1_26_1_Ras,Ras GTPases and regulators,Signaling,01_A_Cytosol,,,RHEB,99942.0,RHEB,86631.0,PMC9854651,pmcid
RIPK1,RIPK1,1_26_28_serine/threonine kinase,Protein kinases,Signaling,01_A_Cytosol,,,RIPK1,72887.83333333333,RIPK1,55346.833333333336,PMC9854651,pmcid
RIT1,RIT1,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,RIT1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
RMI1,RMI1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
RPA2,RPA2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,RPA2,244651.66666666666,RPA2,178895.0,PMC9854651,pmcid
RPGRIP1L,RPGRIP1L,1_16_Cilium assembly,Cytoskeleton,Cytoskeleton,01_D_3b_Cilia,RPGRIP1L,Hypopigmentation disorder,,,,,PMC9854651,pmcid
RPS5,RPS5,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,RPS5,1322483.3333333333,RPS5,1526183.3333333333,PMC9854651,pmcid
RRP9,RRP9,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
RTEL1,RTEL1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,RTEL1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
RUVBL1,RUVBL1,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,RUVBL1,789095.0,RUVBL1,881185.0,PMC9854651,pmcid
SERPINB9,SERPINB9,2_1_10_Serpins,ECM organisation,ECM organisation,04_EXTRACELLULAR,SERPINB9,Hypopigmentation disorder,,,,,PMC9854651,pmcid
SH2B3,SH2B3,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,SH2B3,Hypopigmentation disorder,SH2B3,15805.333333333334,SH2B3,15377.365,PMC9854651,pmcid
SHOC2,SHOC2,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,SHOC2,Hyperpigmentation disorder,SHOC2,49850.666666666664,SHOC2,80469.5,PMC9854651,pmcid
SHQ1,SHQ1,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,01_A_Cytosol,,,,,,,PMC9854651,pmcid
SIRPA,SIRPA,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,,,PMC9854651,pmcid
SKP1,SKP1,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,SKP1,18871.850000000002,SKP1,16490.966666666667,PMC9854651,pmcid
SKP2,SKP2,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,,,,,PMC9854651,pmcid
SLC1A2,SLC1A2,3_1_1_Amino acid & peptide transporters ,Metabolism of amino acids and derivatives,Metabolism,02_B_Cell membrane,SLC1A2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
SLC24A5,SLC24A5,1_33_Melanosomes,Melanosomes,Organelles,02_B_Cell membrane,SLC24A5,Hypo & pigmentation,,,,,PMC9854651,pmcid
SLC45A2,SLC45A2,1_33_Melanosomes,Melanosomes,Organelles,01_B_6_Melanosomes,SLC45A2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
SLC9A3R1,SLC9A3R1,3_1_10_other transporters,Metabolism - Other,Metabolism,02_B_Cell membrane,,,SLC9A3R1,95645.16666666667,SLC9A3R1,107410.66666666667,PMC9854651,pmcid
SLX4,SLX4,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
SMARCA4,SMARCA4,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,SMARCA4,121242.66666666667,SMARCA4,83629.0,PMC9854651,pmcid
SMARCAL1,SMARCAL1,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,SMARCAL1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
SMO,SMO,3_9_Development,Developmental,Developmental,02_B_Cell membrane,SMO,Hypopigmentation disorder,,,,,PMC9854651,pmcid
SNAI2,SNAI2,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,SNAI2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
SNAPIN,SNAPIN,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,,,SNAPIN,136033.83333333334,SNAPIN,151130.0,PMC9854651,pmcid
SOS1,SOS1,1_26_2_Ras_GEF,Ras GTPases and regulators,Signaling,01_A_Cytosol,,,SOS1,40512.9,SOS1,39444.833333333336,PMC9854651,pmcid
SOX10,SOX10,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,SOX10,Hypopigmentation disorder,SOX10,229673.33333333334,SOX10,286783.3333333333,PMC9854651,pmcid
SPRED1,SPRED1,1_26_29_adaptors/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,SPRED1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
STAR,STAR,1_1_8_Metabolism of steroids/cholesterol,Lipid & FA metabolism,Metabolism,01_B_1_Mitochondria,STAR,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
STAT4,STAT4,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,01_A_Cytosol,STAT4,Hypopigmentation disorder,,,,,PMC9854651,pmcid
STK11,STK11,1_26_28_serine/threonine kinase,Protein kinases,Signaling,01_B_1_Mitochondria,STK11,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
STRA13,BHLHE40,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
STRADA,STRADA,1_26_29_adaptors/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
TANK,TANK,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,01_A_Cytosol,,,,,,,PMC9854651,pmcid
TBC1D7,TBC1D7,1_26_9_Rab_GAP,Rab GTPase and regulators,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
TBK1,TBK1,1_26_28_serine/threonine kinase,Protein kinases,Signaling,01_A_Cytosol,,,TBK1,103072.83333333333,TBK1,82992.66666666667,PMC9854651,pmcid
TBX5,TBX5,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,TBX5,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
TCEB1,ELOC,1_5_1_Transcription,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,TCEB1,526306.6666666666,TCEB1,544258.3333333334,PMC9854651,pmcid
TCEB2,ELOB,1_5_1_Transcription,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,TCEB2,243133.33333333334,TCEB2,251093.33333333334,PMC9854651,pmcid
TEN1,TEN1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
TERF1,TERF1,4_3_Cellular Senescence,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
TERF2,TERF2,4_3_Cellular Senescence,Signaling - Cell fates,Signaling,03_A_Nucleus,,,TERF2,77067.16666666667,TERF2,35476.799999999996,PMC9854651,pmcid
TERF2IP,TERF2IP,4_3_Cellular Senescence,Signaling - Cell fates,Signaling,03_A_Nucleus,,,TERF2IP,64232.666666666664,TERF2IP,56771.0,PMC9854651,pmcid
TERT,TERT,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_C_Nucleoplasm,TERT,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
TICAM1,TICAM1,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,01_A_Cytosol,TICAM1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
TINF2,TINF2,4_3_Cellular Senescence,Signaling - Cell fates,Signaling,03_A_Nucleus,TINF2,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
TLR3,TLR3,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
TLR4,TLR4,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
TNFRSF11A,TNFRSF11A,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,02_B_Cell membrane,TNFRSF11A,Hypopigmentation disorder,,,,,PMC9854651,pmcid
TNFRSF11B,TNFRSF11B,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
TNFRSF1A,TNFRSF1A,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
TNFSF11,TNFSF11,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,TNFSF11,Hypopigmentation disorder,,,,,PMC9854651,pmcid
TOP3A,TOP3A,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
TP53,TP53,4_2_Programmed Cell Death,Cell death,Signaling,03_A_Nucleus,,,,,,,PMC9854651,pmcid
TP53BP1,TP53BP1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
TP63,TP63,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,TP63,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
TPCN2,TPCN2,3_1_21_Calcium channel,Ion transporters,Metabolism,01_B_4_Lysosomes,TPCN2,Pigmentation phenotype,,,,,PMC9854651,pmcid
TRAF6,TRAF6,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
TSC1,TSC1,3_2_23_Signaling by TOR,Signaling - Cell fates,Signaling,01_A_Cytosol,TSC1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
TSC2,TSC2,1_26_3_Ras_GAP,Ras GTPases and regulators,Signaling,01_A_Cytosol,TSC2,Hypopigmentation disorder,TSC2,43500.0,TSC2,32676.666666666668,PMC9854651,pmcid
TYR,TYR,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_B_4_Lysosomes,TYR,"Hyper, hypo & pigmentation",,,,,PMC9854651,pmcid
TYRP1,TYRP1,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_B_7_Endosomes,TYRP1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
UBASH3A,UBASH3A,1_26_58_Hydrolase,Metabolism - Other,Signaling,03_A_Nucleus,UBASH3A,Hypopigmentation disorder,,,,,PMC9854651,pmcid
UBE2D1,UBE2D1,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,,,,,PMC9854651,pmcid
UBE2D3,UBE2D3,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,,,,,PMC9854651,pmcid
UBE2E2,UBE2E2,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,UBE2E2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
UBE2M,UBE2M,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,UBE2M,559875.0,UBE2M,645636.6666666666,PMC9854651,pmcid
USH1C,USH1C,1_16_Cilium assembly,Cytoskeleton,Cytoskeleton,01_D_3b_Cilia,,,,,,,PMC9854651,pmcid
USH1G,USH1G,1_16_Cilium assembly,Cytoskeleton,Cytoskeleton,01_D_3b_Cilia,,,,,,,PMC9854651,pmcid
USP7,USP7,1_8_13_Deubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,USP7,233945.0,USP7,202031.66666666666,PMC9854651,pmcid
USP9X,USP9X,1_8_13_Deubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_C_6_Vesicles,USP9X,Hypopigmentation disorder,USP9X,157530.0,USP9X,135568.33333333334,PMC9854651,pmcid
UVSSA,UVSSA,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,UVSSA,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
VAC14,VAC14,1_1_5_Phospholipid metabolism,Lipid & FA metabolism,Metabolism,01_B_7_Endosomes,,,VAC14,76297.0,VAC14,80505.83333333333,PMC9854651,pmcid
VEGFA,VEGFA,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,VEGFA,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
VHL,VHL,1_25_3_Cellular response to hypoxia,"Signaling - ROS/hypoxia, heat stress",Signaling,01_A_Cytosol,,,VHL,21514.166666666668,VHL,25970.333333333332,PMC9854651,pmcid
WDHD1,WDHD1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,,,WDHD1,47703.666666666664,WDHD1,27032.0,PMC9854651,pmcid
WDR36,WDR36,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
WIF1,WIF1,3_2_11_Signaling by Wnt,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,WIF1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
WRAP53,WRAP53,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,WRAP53,Hyperpigmentation disorder,WRAP53,43508.333333333336,WRAP53,11604.699999999999,PMC9854651,pmcid
WRN,WRN,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,WRN,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
XIAP,XIAP,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,XIAP,120491.0,XIAP,82478.0,PMC9854651,pmcid
XPA,XPA,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,XPA,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
XPC,XPC,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,XPC,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
XRCC6,XRCC6,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,XRCC6,1307666.6666666667,XRCC6,1265333.3333333333,PMC9854651,pmcid
YWHAZ,YWHAZ,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,YWHAZ,4647950.0,YWHAZ,4682316.666666667,PMC9854651,pmcid
ZMIZ1,ZMIZ1,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,ZMIZ1,Hypopigmentation disorder,ZMIZ1,3812.8333333333335,,,PMC9854651,pmcid
