gene_a,gene_b,raghunath_sign,raghunath_citation,both_string_mappable,string_edge_present_score700,citation,citation_source
MAP4K2,TNFRSF1A,+,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PAK1,TNFRSF1A,+,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLC,TNFRSF1A,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
SMPD2,TNFRSF1A,+,relayed via TNFRSF1A:NSMAF:GNB2L1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:NSMAF:GNB2L1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
BBC3,TP53,+,PMID:18761658,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18761658,string_db+inherited_backbone
DUSP1,TP53,+,PMID:12890671,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12890671,string_db+inherited_backbone
GADD45A,TP53,+,PMID:19098008,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19098008,string_db+inherited_backbone
HIF1A,TP53,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MC1R,TP53,+,relayed via alpha_MSH_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via alpha_MSH_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
TP53,TYR,-,PMID:19098008,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19098008,string_db+inherited_backbone
TP53,TYRP1,+,PMID:18431400,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18431400,string_db+inherited_backbone
F2RL1,TPSAB1,+,PMID:10439226,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10439226,string_db+inherited_backbone
F2RL1,TRYPSIN,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
MC1R,USF1,+,PMID:15358786,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15358786,string_db+inherited_backbone
FZD3,WNT5A,+,PMID:17804197; PMID:19910923,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:17804197; PMID:19910923,string_db+inherited_backbone
