gene,supporting_layers,n_edge_bearing_layers,is_raghunath_enzyme_class_token,omim_disease_flag,omim_disease_names,omim_phenotype_class,massspec_detected_flag,massspec_a375_lfq,massspec_fm55_lfq,bajpai_hit_flag,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,citation,citation_source
SERPINB9,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GRIP1,STRING_ours|DArcy_STRING,2,False,True,Fraser syndrome 3,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GPNMB,STRING_ours|DArcy_STRING,2,False,True,"Amyloidosis, primary localized cutaneous, 3",Mixed,True,12755.0,53152.833333333336,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GPHN,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, variant type",Mixed,True,43910.666666666664,59320.5,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
SHC1,Raghunath|STRING_ours,2,False,False,,,True,169785.0,136605.0,False,,,,False,Entrez:6464;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SHOC2,STRING_ours|DArcy_STRING,2,False,True,Noonan-like syndrome with loose anagen hair 1,Hyperpigmentation,True,49850.666666666664,80469.5,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GNAQ,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
GNAO1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IL12A,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P29459;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
RACK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,Entrez:10399;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IL17A,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NBN,STRING_ours|DArcy_STRING,2,False,True,Nijmegen breakage syndrome,Mixed,True,45288.666666666664,22819.516666666663,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NLRP1,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NID1,STRING_ours|DArcy_STRING,2,False,True,Nevus-cell nevus,Hyperpigmentation,True,7901.4833333333345,10932.783333333333,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NHP2,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal recessive 2",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NGF,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P01138;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NFIX,STRING_ours|DArcy_STRING,2,False,True,Malan syndrome (formerly Sotos syndrome 2)|Marshall-Smith syndrome,Hyperpigmentation,True,110218.83333333331,363546.6666666667,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NFATC1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:O95644;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NF1,STRING_ours|DArcy_STRING,2,False,True,Neurofibromatosis type 1|Watson syndrome,Hyperpigmentation,True,40171.5,36698.166666666664,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PRKACB,KEGG|STRING_ours,2,False,False,,,True,77850.83333333333,54676.333333333336,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PRKACG,KEGG|STRING_ours,2,False,False,,,True,94505.16666666669,95321.0,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PRKAR1A,STRING_ours|DArcy_STRING,2,False,True,"Carney complex, type 1",Hyperpigmentation,True,297455.0,409025.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PRSS1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,Entrez:5644;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PRKCD,Raghunath|STRING_ours,2,False,False,,,True,97622.16666666669,103558.33333333331,False,,,,False,UniProt:Q05655;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MYH8,STRING_ours|DArcy_STRING,2,False,True,Carney complex variant,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MYD88,Raghunath|STRING_ours,2,False,False,,,True,45242.833333333336,35170.666666666664,False,,,,False,Entrez:4615;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PRKCG,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MTAP,STRING_ours|DArcy_STRING,2,False,True,Nevus-cell nevus,Hyperpigmentation,True,447995.0,456720.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MSN,Raghunath|STRING_ours,2,False,False,,,True,3732700.0,3325000.0,False,,,,False,UniProt:P26038;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MSH6,STRING_ours|DArcy_STRING,2,False,True,Mismatch repair cancer syndrome 3,Hyperpigmentation,True,263253.3333333333,211548.33333333337,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MSH2,STRING_ours|DArcy_STRING,2,False,True,Mismatch repair cancer syndrome 2,Hyperpigmentation,True,290876.6666666667,215565.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PRKG1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q13976;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NNT,STRING_ours|DArcy_STRING,2,False,True,"Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NOP10,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal recessive 1	",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NOS2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P35228;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NOX1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q9Y5S8;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PLA2G6,STRING_ours|DArcy_STRING,2,False,True,Nevus-cell nevus,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PLCB2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PLCB4,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PDPK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:O15530;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PCNT,STRING_ours|DArcy_STRING,2,False,True,"Microcephalic osteodysplastic primordial dwarfism, type II",Mixed,True,28647.5,29371.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PMAIP1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q13794;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PMS2,STRING_ours|DArcy_STRING,2,False,True,Mismatch repair cancer syndrome 4,Hyperpigmentation,True,59963.833333333336,62256.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PARN,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal recessive 6",Hyperpigmentation,True,50890.666666666664,30324.333333333332,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PARD6A,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,Entrez:50855;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PALB2,STRING_ours|DArcy_STRING,2,False,True,"Fanconi anemia, complementation group N",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PAK1,Raghunath|STRING_ours,2,False,False,,,True,41376.333333333336,49505.333333333336,False,,,,False,UniProt:Q13153;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PAH,STRING_ours|DArcy_STRING,2,False,True,Phenylketonuria,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
POFUT1,STRING_ours|DArcy_STRING,2,False,True,Dowling-Degos disease 2,Mixed,True,337475.0,325080.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
POGLUT1,STRING_ours|DArcy_STRING,2,False,True,Dowling-Degos disease 4,Hyperpigmentation,True,56813.333333333336,84603.83333333333,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
POLA1,STRING_ours|DArcy_STRING,2,False,True,"Pigmentary disorder, reticulate, with systemic manifestations, X-linked",Hyperpigmentation,True,44276.666666666664,29286.833333333332,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
POLH,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, variant type",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NTRK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P04629;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NSD1,STRING_ours|DArcy_STRING,2,False,True,Sotos syndrome,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
NR0B1,STRING_ours|DArcy_STRING,2,False,True,"Adrenal hypoplasia, congenita",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MRAP,STRING_ours|DArcy_STRING,2,False,True,Glucocorticoid deficiency 2,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PSENEN,STRING_ours|DArcy_STRING,2,False,True,"Acne inversa, familial, 2, with or without Dowling-Degos disease",Hyperpigmentation,False,,,True,1.2,0.077824109,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IL1A,Raghunath|STRING_ours,2,False,False,,,True,,57370.0,False,,,,False,UniProt:P01583;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
JAK1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P23458;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP2K4,Raghunath|STRING_ours,2,False,False,,,True,100350.16666666669,68161.16666666667,False,,,,False,UniProt:P45985;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP2K3,Raghunath|STRING_ours,2,False,False,,,True,199308.33333333337,204830.0,False,,,,False,UniProt:P46734;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
LYST,STRING_ours|DArcy_STRING,2,False,True,Chediak–Higashi syndrome,Hypopigmentation,False,,,True,1.3,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RAB5C,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,554583.3333333334,527585.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RAC1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P63000;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FANCI,STRING_ours|DArcy_STRING,2,False,True,"Fanconi anemia, complementation group I",Mixed,True,81438.33333333333,33593.166666666664,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
KRT5,STRING_ours|DArcy_STRING,2,False,True,"Dowling-Degos disease 1|Epidermolysis bullosa simplex, 2F, with mottled pigmentation",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
KRT14,STRING_ours|DArcy_STRING,2,False,True,Dermatopathia pigmentosa reticularis|Naegeli-Franceschetti-Jadassohn syndrome,Hyperpigmentation,True,70201.98333333334,1958.9,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RALY,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IVL,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P07476;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MMP1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P03956;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IRF3,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,110958.83333333331,104713.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IRAK4,Raghunath|STRING_ours,2,False,False,,,True,44410.666666666664,36717.0,False,,,,False,Entrez:51135;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IL6R,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P08887;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IL6,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P05231;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
RDX,Raghunath|STRING_ours,2,False,False,,,True,354386.6666666667,384995.0,False,,,,False,UniProt:P35241;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
RECQL4,STRING_ours|DArcy_STRING,2,False,True,"Rothmund-Thomson syndrome, type 2",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IL2RA,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IL23R,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IL1R1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P14778;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP2K6,Raghunath|STRING_ours,2,False,False,,,True,91436.0,74946.16666666667,False,,,,False,UniProt:P52564;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP2K7,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:O14733;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP3K1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q13233;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP3K14,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q99558;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MLH1,STRING_ours|DArcy_STRING,2,False,True,Mismatch repair cancer syndrome 1,Mixed,True,75256.16666666667,42434.833333333336,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MEN1,STRING_ours|DArcy_STRING,2,False,True,Multiple endocrine neoplasia 1,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PTEN,STRING_ours|DArcy_STRING,2,False,True,Cowden syndrome 1 (Bannayan-Riley-Ruvalcaba syndrome),Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PTGER1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P34995;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PTGER2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P43116;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PTGER3,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P43115;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PTGER4,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P35408;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MCM5,Reactome|DArcy_STRING,2,False,False,,,True,432071.6666666667,343548.3333333333,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
MCM4,STRING_ours|DArcy_STRING,2,False,True,Immunodeficiency-54,Hyperpigmentation,True,410855.0,308043.3333333333,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MCM2,Reactome|DArcy_STRING,2,False,False,,,True,387618.3333333333,310426.6666666667,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
PTPN1,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,233243.33333333337,176190.0,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PTPN11,STRING_ours|DArcy_STRING,2,False,True,LEOPARD syndrome 1,Hyperpigmentation,True,221126.66666666663,237956.66666666663,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MC4R,Reactome|DArcy_STRING,2,False,False,,,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
PTPN22,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PTPRC,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
MAPK8,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P45983;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP4K2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q12851;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP3K7,Raghunath|STRING_ours,2,False,False,,,True,11640.2,16784.333333333332,False,,,,False,Entrez:6885;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
MAP3K5,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:Q99683;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FARP2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
PLA2G1B,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,Entrez:5319;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TNFRSF11A,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
WNT2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CREB3L2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
